EMOTION,TEXT,cleaned_text
fear,"Someone knocked on the door when I was alone at home (though  
there was a door bell).  I looked through the peep hole but it  
had been covered.  I called my sister but she could not help me  
as she was hundreds of kilometres away.",someon knock door alon home (though door bell). look peep hole covered. call sister could help hundr kilometr away.
anger,"My parents put pressure on me to buy clothes, when I would not  
have liked to do so.","parent put pressur buy clothes, would like so."
sadness,"When my grandfather died, I saw my grandmother crying against my  
aunt's shoulder (I had never seen my grandmother cry before).","grandfath died, saw grandmoth cri aunt' shoulder (i never seen grandmoth cri before)."
disgust,"At school, I detested the spinach gruel which had lumps of flour  
in it.","school, detest spinach gruel lump flour it."
shame,"I told some acquaintances of mine something that I regretted  
later.",told acquaint mine someth regret later.
guilt,"[ I speak harshly to my parents though they only mean my own  
good.]",[ speak harshli parent though mean good.]
joy,When I got a letter from home.,got letter home.
fear,"While cycling in the country a dog started running beside me,  
growling and barking, and trying to bite my foot.","cycl countri dog start run besid me, growl barking, tri bite foot."
anger,"Disagreements with mother.  When I moved from KankaanpSS, she had  
promised to help me move but broke her promise because of some  
hindrance. ","disagr mother. move kankaanpss, promis help move broke promis hindrance."
sadness,"When I had to move away from home to study, and I knew that I  
would not be coming back home for a long time.","move away home study, knew would come back home long time."
disgust,"When I noticed two spiders running on the floor in different  
directions.",notic two spider run floor differ directions.
shame,"When I realized that I had been wrong about a person close to me,  
because of pre-set ideas and prejudices.","realiz wrong person close me, pre-set idea prejudices."
guilt,"When I reproached my friend because I was myself low-spirited and  
disappointed.",reproach friend low-spirit disappointed.
joy,I found myself a place after looking for one for a long time.,found place look one long time.
fear,[ In an aeroplane.],[ aeroplane.]
anger,"I was angry at my boyfriend who had promised to come to see me  
but did not because he spent the evening with his pals.",angri boyfriend promis come see spent even pals.
sadness,"The breaking up of a relationship.  We decided that the  
relationship could not carry on, so it was no surprise to me.  
And anyhow, I had known it would happen sooner or later.","break relationship. decid relationship could carri on, surpris me. anyhow, known would happen sooner later."
disgust,The disgust I feel towards a certain person.,disgust feel toward certain person.
shame,After an event in which I felt that I had acted unfairly.,event felt act unfairly.
guilt,"At my job, I got disproportionately angry with a child.  My  
reaction was not as it should have been.","job, got disproportion angri child. reaction been."
joy,"I went to see the entrance examination results at university.  I  
rejoyced at my success.",went see entranc examin result university. rejoyc success.
fear,"I borrowed a car which was supposed to be used for a long journey  
a few hours later, and one of the tyres burst in the middle of  
the town and I did not know what to do.","borrow car suppos use long journey hour later, one tyre burst middl town know do."
anger,"An utterance, which I had intended to be a joke, was taken as an  
offence.  In my opinion, this was stupid, and I got angry.","utterance, intend joke, taken offence. opinion, stupid, got angry."
sadness,"My best friend had a relatively severe illness.  I was sad  
because she was suffering.",best friend rel sever illness. sad suffering.
disgust,"A man tried to have sexual intercourse with me, though I had  
communicated my unwillingness.  Later on, I felt disgust at that  
person as well as myself because I had partly submitted.","man tri sexual intercours me, though commun unwillingness. later on, felt disgust person well partli submitted."
shame,"I told my friend about how I had calculated my salary by cheating a  
little.  When my friend remarked about it, I understood that it  
was wrong to do so, and I felt ashamed.","told friend calcul salari cheat little. friend remark it, understood wrong so, felt ashamed."
guilt,"I am going steady with a boy, but I had sexual intercourse with  
another one, and I felt guilty about it afterwards.","go steadi boy, sexual intercours anoth one, felt guilti afterwards."
joy,A good report card (a scholarship) in primary school.,good report card (a scholarship) primari school.
fear,"I was walking home with a friend at night along a quiet street.   
Something started rustling in the bush : it was an exhibitionist.",walk home friend night along quiet street. someth start rustl bush : exhibitionist.
anger,"I got angry at a friend of mine whom I caught reading my notebook  
(almanach).",got angri friend mine caught read notebook (almanach).
sadness,When my grandmother died of cancer.,grandmoth die cancer.
disgust,"In a lift a drunken, fat and untidy man tried to make advances at  
me.","lift drunken, fat untidi man tri make advanc me."
